entry_id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17219303,Stylish Apt in the Heart of Greenwich Village,1700359,Manhattan,NoHo,40.72723,-73.99186,Entire home/apt,195,30,5,2019-05-31,0.19,1,34
17222011,Spacious Apartment in the Heart of Manhattan,3558557,Manhattan,Gramercy,40.73556,-73.98913,Entire home/apt,159,2,15,2019-05-12,0.57,1,33
17222454,Sun Room Family Home LGA Airport NO CLEANING FEE,26432133,Queens,East Elmhurst,40.76367,-73.87088,Private room,48,1,417,2019-07-07,14.36,5,338
17223109,Cute Chelsea Apartment - 1 BR - Amazing Location!,10160214,Manhattan,Chelsea,40.73977,-73.99938,Entire home/apt,190,12,5,2019-06-06,0.5,1,32
17223725,"Artistic Room with AC,3 Mins walk to the subway",37163867,Queens,Long Island City,40.75455,-73.92005999999999,Private room,80,30,18,2019-07-01,0.62,1,92
17224136,Spacious Apt. 20 Mins from Manhattan!,81876750,Queens,Astoria,40.76043,-73.91465,Private room,96,2,18,2019-04-28,0.62,1,364
17224372,Friendly Room 20-202,115993835,Brooklyn,Sunset Park,40.639920000000004,-74.0076,Private room,28,1,31,2019-03-10,1.08,5,1
17225037,Private Room20-102,115993835,Brooklyn,Sunset Park,40.63929,-74.00669,Private room,30,1,27,2019-04-01,1.64,5,168
17231011,Clean 1br w/Parking Incl.  also 10min near JFK/LGA,116056294,Queens,Rego Park,40.73048,-73.85331,Private room,50,1,34,2019-07-06,1.17,1,347
17233932,Private Bedroom in Williamsburg,17928071,Brooklyn,Williamsburg,40.71162,-73.95631,Private room,85,3,12,2019-05-14,0.58,2,289
17234955,Getaway 2 Bed 1 Bath close to park,113805886,Manhattan,Upper East Side,40.77747,-73.95193,Entire home/apt,190,31,4,2019-01-03,0.21,33,299
17236095,Spectacular 2 bed 1 bath Close to Park,113805886,Manhattan,Upper East Side,40.77878,-73.9501,Entire home/apt,180,31,10,2019-05-31,0.55,33,331
17236462,Large 2 bed 2 bath close to Park,113805886,Manhattan,Upper East Side,40.77823,-73.95127,Entire home/apt,235,31,9,2019-02-19,0.39,33,333
17237486,Bright & Spacious Chelsea Studio,13238971,Manhattan,Chelsea,40.74281,-73.99969,Entire home/apt,175,4,5,2018-06-21,0.23,1,8
17237922,Big 1 bdroom w balcony Williamsburg,116126452,Brooklyn,Williamsburg,40.707209999999996,-73.95340999999999,Entire home/apt,160,2,17,2018-07-09,0.59,1,3
17239021,"East Village, private room with free breakfast",115395049,Manhattan,East Village,40.72598,-73.98855999999999,Private room,145,1,25,2019-05-26,0.88,2,329
17239321,Awesome Apartment in the E Village!,6489574,Manhattan,East Village,40.72759,-73.98619000000001,Entire home/apt,140,1,31,2019-06-30,1.14,1,1
17240729,"Guest Room in High Ceiling Duplex, Williamsburg! 1",40511252,Brooklyn,Williamsburg,40.70585,-73.9531,Private room,52,30,4,2019-03-24,0.17,3,294
17242854,Yankee Stadium apartment in Bronx,8159536,Bronx,Concourse,40.83243,-73.92035,Private room,40,1,11,2019-02-20,0.42,3,239
17249755,Bedstuy/Bushwick - Fully Renovated One Bedroom,11638358,Brooklyn,Bedford-Stuyvesant,40.69,-73.93783,Entire home/apt,100,4,77,2019-06-16,2.66,2,100
17252229,Balcony on 2nd floor Entire Apt close to Subway,116268542,Brooklyn,East New York,40.674040000000005,-73.88276,Entire home/apt,62,1,98,2019-06-25,3.4,1,23
